2014,4択,"A、B、Cなどのアルファベットを用いて日本語の音を表記したものを何という？
(1) 仮名 (2) 漢字 (3) 数字 (4) ローマ字",(4) ローマ字,,,タグ
2014,4択,"焼肉の部位で「牛タン」といえば、牛のどの部分の肉？
(1) 舌 (2) 小腸 (3) 肝臓 (4) 胆のう",(1) 舌
2014,4択,"MacBook、iMac、iPhoneといえばどこのメーカーの製品？
(1) アップル (2) インテル (3) グーグル (4) マイクロソフト",(1) アップル
2014,4択,"社員にパワハラをしたり過重労働を強制したりする企業のことを、俗に何という？
(1) ブルー企業 (2) ブラウン企業 (3) ブラック企業 (4) グリーン企業",(3) ブラック企業
2014,4択,"『斜陽』『人間失格』などの作品を残した作家は？
(1) 三島由紀夫 (2) 田中英光 (3) 有島武郎 (4) 太宰治",(4) 太宰治
2014,4択,"朝食や間食として食べられる、シューマイやあんまんなどの軽い中華料理のことを何という？
(1) 包子 (2) 餃子 (3) 蒸心 (4) 点心",(4) 点心
2014,4択,"アフリカ大陸北部に位置する、世界最大の砂漠は？
(1) ゴビ砂漠 (2) サハラ砂漠 (3) アタカマ砂漠 (4) タクラマカン砂漠",(2) サハラ砂漠
2014,4択,"イソップ童話の『金の斧』で、きこりが誤って川に落としてしまったのは何で出来た斧？
(1) 金 (2) 銀 (3) 銅 (4) 鉄",(4) 鉄
2014,4択,"学名を「リンコドン・ティプス」という、現存する世界最大の魚類は？
(1) オニイトマキエイ (2) シロナガスクジラ (3) リュウグウノツカイ (4) ジンベエザメ",(4) ジンベエザメ
2014,4択,"音楽の記号「フォルティッシモ」の意味は？
(1) きわめて弱く (2) きわめて強く (3) だんだん弱く (4) だんだん強く",(2) きわめて強く
2014,4択,"夫よりも妻のほうが体が大きい夫婦のことを指す言葉は？
(1) ハエの夫婦 (2) ノミの夫婦 (3) ダニの夫婦 (4) シラミの夫婦",(2) ノミの夫婦
2014,4択,"地震の震源の真上にある地表上の点を何という？
(1) 震頂 (2) 震央 (3) 震頭 (4) 震中",(2) 震央
2014,4択,"ねぎ玉牛丼、おろしぽん酢牛丼、とろ～り3種のチーズ牛丼などのメニューがある牛丼チェーン店は？
(1) 吉野家 (2) 松屋 (3) すき家 (4) 東京チカラめし",(3) すき家
2014,4択,"武士の世界で、主君が家臣に与える「御恩」に対し、家臣が主君に奉仕することを指した言葉は？
(1) 目付 (2) 直参 (3) 忠勤 (4) 奉公",(4) 奉公
2014,4択,"テレビ番組『ライオンのごきげんよう』で、トークのテーマを決めるのに使われるものは？
(1) ルーレット (2) おみくじ (3) サイコロ (4) ダーツ",(3) サイコロ
2014,4択,"「鉛筆1グロス」といえば、鉛筆何本のこと？
(1) 100本 (2) 125本 (3) 144本 (4) 156本",(3) 144本
2014,4択,"奈良県や和歌山県などを含む、日本の半島は？
(1) 三浦半島 (2) 紀伊半島 (3) 渥美半島 (4) 大隅半島",(2) 紀伊半島
2014,4択,"7人制、10人制、15人制などの種類があるスポーツは？
(1) ラグビー (2) ハンドボール (3) アメリカンフットボール (4) 水球",(1) ラグビー
2014,4択,"気象情報において、降水量を表す単位は？
(1) km (2) m (3) cm (4) mm",(4) mm
2014,4択,"建物の敷地面積に対する建築面積の割合のことを何という？
(1) 建屋率 (2) 建積率 (3) 建築率 (4) 建蔽率",(4) 建蔽率
2014,4択,"発祥地は兵庫県多可郡多可町。現在では9月の第3月曜日にある祝日は？
(1) 文化の日 (2) 秋分の日 (3) 勤労感謝の日 (4) 敬老の日",(4) 敬老の日
2014,4択,"タレントとして人気の東進ハイスクール講師・林修が担当している教科は？
(1) 数学 (2) 英語 (3) 地理 (4) 現代文",(4) 現代文
2014,4択,"紀元前221年に史上初めて中国を統一した王朝は？
(1) 周 (2) 斉 (3) 秦 (4) 漢",(3) 秦
2014,4択,"アメリカの大都市・ボストンがある州は？
(1) マサチューセッツ州 (2) ニューハンプシャー州 (3) メリーランド州 (4) コネチカット州",(1) マサチューセッツ州
2014,4択,"アルファベット2文字で「IR」と略される電磁波は？
(1) 紫外線 (2) 可視光線 (3) 赤外線 (4) 電波",(3) 赤外線
2014,4択,"夏の夜に赤く輝く、さそり座のα星は？
(1) シリウス (2) アンタレス (3) プロキオン (4) アルデバラン",(2) アンタレス
2014,4択,"歌曲『魔王』/や交響曲『未完成』で知られる作曲家は？
(1) ショパン (2) シューマン (3) シューベルト (4) シュトラウス",(3) シューベルト(シューベルト)
2014,4択,"鉄板にメッキしたものはトタンになり、銅との合金は黄銅になる金属は？
(1) 亜鉛 (2) 錫 (3) 鉛 (4) ニッケル",(1) 亜鉛
2014,4択,"一般的なトランペットに、音程調節のためのピストンバルブはいくつついている？
(1) 3つ (2) 4つ (3) 5つ (4) 6つ",(1) 3つ
2014,4択,"より丁寧には「御御御付(おみおつけ)」といわれるものを、普通は何という？
(1) 漬物 (2) 味噌汁 (3) 刺身 (4) 煮物",(2) 味噌汁
2014,4択,"毎年競技かるたの名人位・クイーン位決定戦が開催される神社は？
(1) 明石神宮 (2) 伊勢神宮 (3) 近江神宮 (4) 若狭神宮",(3) 近江神宮
2014,4択,"周囲が100mの円周上に4m間隔で杭を打つとき、必要な杭の本数は？
(1) 23本 (2) 24本 (3) 25本 (4) 26本",(3) 25本
